X,Y,X,Y,X,Y,X,Y
479.623,2014,478.152,706,478.152,8693,480.53,27358
481.758,2014,480.289,663,480.289,8666,482.665,27238
483.894,1697,482.425,590,482.425,8719,484.799,27300
486.028,1797,484.561,574,484.561,8414,486.933,26447
488.162,1960,486.696,542,486.696,8495,489.066,25384
490.295,1924,488.831,638,488.831,8320,491.198,25338
492.428,1807,490.965,607,490.965,8304,493.33,23904
494.56,1809,493.098,611,493.098,8390,495.461,24147
496.692,1959,495.231,644,495.231,8670,497.592,24839
498.823,1810,497.363,646,497.363,8207,499.722,23731
500.954,1868,499.495,714,499.495,8192,501.852,23908
503.084,1801,501.626,715,501.626,8415,503.981,23643
505.213,1937,503.757,627,503.757,8033,506.109,23686
507.342,1756,505.887,638,505.887,7983,508.237,23364
509.47,1739,508.016,586,508.016,8008,510.364,23403
511.597,1608,510.145,535,510.145,8116,512.491,22814
513.724,1631,512.273,501,512.273,7898,514.617,22951
515.851,1666,514.401,540,514.401,7805,516.742,23138
517.977,1589,516.528,530,516.528,8102,518.867,23989
520.102,1719,518.654,548,518.654,8212,520.992,23423
522.227,1653,520.78,566,520.78,7855,523.115,23298
524.351,1790,522.905,628,522.905,8123,525.239,23273
526.474,2182,525.03,757,525.03,8323,527.361,23294
528.597,2446,527.154,935,527.154,8115,529.483,23931
530.72,2508,529.278,1069,529.278,8669,531.605,24121
532.842,2498,531.401,961,531.401,8600,533.725,24597
534.963,2315,533.523,834,533.523,8242,535.846,24065
537.084,1936,535.645,758,535.645,8162,537.965,24519
539.204,1678,537.767,644,537.767,8261,540.085,24762
541.323,1990,539.887,594,539.887,8552,542.203,24581
543.442,2087,542.008,619,542.008,8098,544.321,25485
545.561,2063,544.127,680,544.127,8782,546.439,25653
547.678,2075,546.246,649,546.246,8725,548.555,25880
549.796,1977,548.365,598,548.365,8484,550.672,25970
551.912,1846,550.482,541,550.482,8644,552.787,26850
554.028,1747,552.6,601,552.6,8761,554.903,27200
556.144,1805,554.716,511,554.716,8294,557.017,27651
558.259,1887,556.833,630,556.833,8700,559.131,28332
560.373,1928,558.948,568,558.948,8404,561.244,28302
562.487,2009,561.063,714,561.063,8902,563.357,29132
564.6,1756,563.177,667,563.177,8671,565.469,29166
566.713,1708,565.291,679,565.291,8515,567.581,29865
568.825,1946,567.405,650,567.405,8518,569.692,31476
570.936,2034,569.517,626,569.517,8268,571.803,30248
573.047,2032,571.629,782,571.629,8375,573.913,31435
575.157,2123,573.741,716,573.741,8416,576.022,31722
577.267,1958,575.852,640,575.852,8232,578.131,32476
579.376,1996,577.962,684,577.962,8428,580.239,33644
581.485,1994,580.072,748,580.072,8374,582.347,33341
583.593,1960,582.181,714,582.181,8301,584.454,34050
585.7,2073,584.29,645,584.29,8034,586.56,34297
587.807,1854,586.398,702,586.398,8358,588.666,34920
589.914,1966,588.506,719,588.506,8080,590.771,36602
592.019,1967,590.613,692,590.613,8405,592.876,37319
594.125,1835,592.719,624,592.719,7958,594.98,38240
596.229,1640,594.825,578,594.825,8121,597.084,39181
598.333,1734,596.93,506,596.93,8004,599.187,40884
600.437,1704,599.035,555,599.035,8025,601.29,40424
602.54,1630,601.139,545,601.139,8200,603.391,42138
604.642,1708,603.242,544,603.242,7731,605.493,42856
606.744,1674,605.345,505,605.345,8062,607.594,42562
608.845,1628,607.448,521,607.448,7407,609.694,43187
610.945,1623,609.549,483,609.549,8092,611.793,44034
613.045,1682,611.651,530,611.651,8008,613.892,43209
615.145,1616,613.751,540,613.751,8285,615.991,43655
617.244,1882,615.851,518,615.851,8430,618.089,41914
619.342,1733,617.951,460,617.951,8105,620.186,41914
621.44,1768,620.05,503,620.05,8290,622.283,39610
